,Name,Description,Category,URL,Small_Image,Large_Image
42,Zappbios,"Een kleermaker slaat in één klap zeven vliegen dood en heeft daarom op zijn gordel 'zeven in één klap' geborduurd, waardoor iedereen denkt dat de kleermaker zeven reuzen in een klap heeft geveld.",Films,https://www.npostart.nl/zappbios/10-06-2012/POW_00474843,https://images.npo.nl/tile/320x180/513627.jpg,https://images.npo.nl/header/2560x1440/513627.jpg
43,De mooiste sprookjes,"Verfilming van het bekende sprookje over de molenaarsdochter die, met behulp van Repelsteeltje, stro tot goud kan spinnen. Als beloning voor zijn hulp vraagt Repelsteeltje echter een hoge prijs.",Films,https://www.npostart.nl/de-mooiste-sprookjes/13-06-2012/POW_00474849,https://images.npo.nl/tile/320x180/510013.jpg,https://images.npo.nl/header/2560x1440/510013.jpg
44,Zappbios,"De koning wordt 70 en moet daarom aftreden. Zijn zus wacht al jaren op de kans om koningin te worden en alleen de zoon van de koning kan dit voorkomen. Hij moet dan wel snel trouwen, maar met wie?",Films,https://www.npostart.nl/zappbios/20-06-2012/POW_00474853,https://images.npo.nl/tile/320x180/1061029.jpg,https://images.npo.nl/header/2560x1440/1061029.jpg
45,Zappbios,"Marie valt in een waterput en komt terecht bij Vrouw Holle, die ze helpt met het huishouden. Bedekt met goud keert ze na een jaar terug. Haar jaloerse, luie zus besluit ook naar Vrouw Holle te gaan.",Films,https://www.npostart.nl/zappbios/24-06-2012/POW_00474842,https://images.npo.nl/tile/320x180/492770.jpg,https://images.npo.nl/header/2560x1440/492770.jpg
46,De mooiste sprookjes,,Films,https://www.npostart.nl/de-mooiste-sprookjes/27-06-2012/POW_00474845,https://images.npo.nl/tile/320x180/492744.jpg,https://images.npo.nl/tile/320x180/492744.jpg
47,Zappbios,De gemene stiefmoeder van Broertje en Zusje vergiftigt hun vader. Broertje en Zusje houden het daarna thuis niet meer uit en vluchten. Door een vloek verandert Broertje in een ree.,Films,https://www.npostart.nl/zappbios/04-07-2012/POW_00474846,https://images.npo.nl/tile/320x180/930966.jpg,https://images.npo.nl/header/2560x1440/930966.jpg
48,Zappbios,"Als prinses Elisabeth op weg gaat om prins Leopold te ontmoeten, gaat haar dienstmaagd Magdalena mee. Magdalena is zo jaloers op Elisabeth dat ze haar bedreigt en ze ruilen van identiteit.",Films,https://www.npostart.nl/zappbios/08-07-2012/POW_00474848,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/522268.jpg
49,Zappbios,"Om zijn leven te redden moet meesterdief Robert drie opdrachten vervullen, om te bewijzen dat hij niet zomaar een dief is.",Films,https://www.npostart.nl/zappbios/11-07-2012/POW_00474852,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/1410198.jpg
50,Zappbios,"Een prinses laat per ongeluk haar gouden bal in de hofvijver vallen. Een kikker wil hem er wel voor haar uithalen, maar alleen als hij van haar bord mag eten en in haar bed mag slapen.",Films,https://www.npostart.nl/zappbios/18-07-2012/POW_00474850,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/522271.jpg
51,Zappbios,"De koning heeft zijn soldaten een beloning beloofd, maar hij bedriegt hen en zonder geld belandt soldaat Jacob in het bos. Hij wordt door een heks in een put gegooid en vindt daar een blauw licht.",Films,https://www.npostart.nl/zappbios/18-08-2012/POW_00474851,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/513630.jpg
52,NTR Kort!: De maan is kapot,Een vader probeert zijn tegenstribbelende zoontje in bed te krijgen. Dit leidt tot een wervelende reis naar de halve (kapotte) maan. Op de maan komen vader en zoon mama tegen.,Films,https://www.npostart.nl/ntr-kort-de-maan-is-kapot/26-06-2012/NPS_1209020,https://images.npo.nl/tile/320x180/1015262.jpg,https://images.npo.nl/header/2560x1440/1015262.jpg
53,Zappbios,"Om haar vader uit de gevangenis te laten, vraagt de koning aan de boerendochter om een raadsel op te lossen. Als dat haar lukt, zal hij niet alleen haar vader vrijlaten, maar ook met haar trouwen.",Films,https://www.npostart.nl/zappbios/19-08-2012/POW_00474844,https://images.npo.nl/tile/320x180/539137.jpg,https://images.npo.nl/header/2560x1440/539137.jpg
54,Zappbios,"Doornroosje slaapt al honderd jaar als gevolg van een spreuk van een boze fee. Een eeuw lang proberen dappere prinsen het door een doornhaag overwoekerde kasteel waarin zij slaapt, binnen te dringen.",Films,https://www.npostart.nl/zappbios/26-08-2012/POW_00474847,https://images.npo.nl/tile/320x180/776784.jpg,https://images.npo.nl/header/2560x1440/776784.jpg
55,Eileen - Een Nederlandse bij de FARC,Tijdens haar stage komt Eileen in aanraking met de erbarmelijke leefomstandigheden in de sloppenwijken van Colombia. Tegen de zin van haar familie keert ze terug en sluit ze zich aan bij de FARC.,Films,https://www.npostart.nl/eileen-een-nederlandse-bij-de-farc/09-11-2012/VPWON_1190399,https://images.npo.nl/tile/320x180/1632438.jpg,https://images.npo.nl/header/2560x1440/1632438.jpg
56,De mooiste sprookjes,De stiefmoeder en stiefzusjes van Assepoester zijn alles behalve aardig. Assepoester moet vieze karweitjes opknappen en de afgedankte jurken van haar zusjes dragen. Hoe kan ze zo haar prins vinden?,Films,https://www.npostart.nl/de-mooiste-sprookjes/05-01-2013/POW_00562445,https://images.npo.nl/tile/320x180/516580.jpg,https://images.npo.nl/header/2560x1440/516580.jpg
57,One Night Stand,Een 15-jarig gothic-meisje valt als een blok voor de nieuwe Marokkaanse jongen in haar klas. Een modern sprookje over twee eenlingen die hun masker moeten laten vallen om elkaars liefde te winnen.,Films,https://www.npostart.nl/one-night-stand/27-01-2012/NPS_1195266,https://images.npo.nl/tile/320x180/1467556.jpg,https://images.npo.nl/header/2560x1440/1467556.jpg
58,Zappbios,In het Paleis Van Het Eeuwige IJs ligt de legendarische Schat Van De Goden. Wickie's vader bezit de sleutel van dit paleis. Als hij op zoek gaat naar de schat wordt hij ontvoerd door Vreselijke Sven.,Films,https://www.npostart.nl/zappbios/06-01-2013/POW_00550905,https://images.npo.nl/tile/320x180/989705.jpg,https://images.npo.nl/header/2560x1440/989705.jpg
59,Zappbios,"Jorinde en Joringel willen trouwen, maar haar vader is er op tegen. Jorinde en Joringel besluiten daarop weg te lopen en vluchten het bos in. Daar wordt Jorinde gevangengenomen door een heks.",Films,https://www.npostart.nl/zappbios/06-01-2013/POW_00562446,https://images.npo.nl/tile/320x180/1061368.jpg,https://images.npo.nl/header/2560x1440/1061368.jpg
60,De mooiste sprookjes,"Elke ochtend is het raak: de dochters van de koning hebben hun schoenen 's nachts stuk gedanst. Niemand kan erachter komen waardoor dat komt, tot er een jonge poppenspeler op het kasteel verschijnt.",Films,https://www.npostart.nl/de-mooiste-sprookjes/13-01-2013/POW_00562447,https://images.npo.nl/tile/320x180/937276.jpg,https://images.npo.nl/header/2560x1440/937276.jpg
61,Zappbios,De koning wil de ouders van Mina vrijlaten op één voorwaarde: Mina moet voor zonsondergang haar ouders weten te vinden.,Films,https://www.npostart.nl/zappbios/20-01-2013/POW_00562448,https://images.npo.nl/tile/320x180/938768.jpg,https://images.npo.nl/header/2560x1440/938768.jpg
62,Telefilm,Mirte werkt als schoonmaakster in het aanmeldcentrum voor asielzoekers bij de luchthaven. Ze is een weerbarstige vrouw die door routine haar verleden probeert weg te drukken.,Films,https://www.npostart.nl/telefilm/20-04-2013/NPS_1220355,https://images.npo.nl/tile/320x180/688535.jpg,https://images.npo.nl/header/2560x1440/688535.jpg
63,Filmlab,,Films,https://www.npostart.nl/filmlab/24-09-2012/VPWON_1182595,https://images.npo.nl/tile/320x180/1515585.jpg,https://images.npo.nl/header/2560x1440/1515585.jpg
64,Filmlab,De onafscheidelijke tweelingzusjes Ana en Nilin hangen rond op een afgelegen en mysterieus strand. Van het ene op het andere moment verdwijnt Ana spoorloos.,Films,https://www.npostart.nl/filmlab/24-09-2012/NPS_1210680,https://images.npo.nl/tile/320x180/1461360.jpg,https://images.npo.nl/header/2560x1440/1461360.jpg
65,Filmlab,,Films,https://www.npostart.nl/filmlab/24-09-2012/POW_00534510,https://images.npo.nl/tile/320x180/1399635.jpg,https://images.npo.nl/header/2560x1440/1399635.jpg
66,One Night Stand: Cabo,De ambitieuze Kaapverdiaan Artur studeert medicijnen en heeft een leuke Nederlandse vriendin. Arturs succesvolle leven blijkt echter deels façade als hij bezoek krijgt van een mysterieuze Afrikaan.,Films,https://www.npostart.nl/one-night-stand-cabo/21-12-2012/NPS_1215671,https://images.npo.nl/tile/320x180/1461357.jpg,https://images.npo.nl/header/2560x1440/1461357.jpg
67,Telefilm,"Dylan lijkt een doodnormale, lastige puber. Hij heeft twee moeders, die na een vervelend incident blij zijn dat de biologische vader Sjors weer eens van zich laat horen.",Films,https://www.npostart.nl/telefilm/16-03-2013/KRO_1603319,https://images.npo.nl/tile/320x180/1262291.jpg,https://images.npo.nl/header/2560x1440/1262291.jpg
68,Smoorverliefd,"Romantische komedie over het turbulente leven van vier sterke vrouwen: tienerdochter Eva, haar moeder Judith, tante Barbara en grote zus Michelle, samen onder een dak, op zoek naar 'love, peace, en happiness'.",Films,https://www.npostart.nl/smoorverliefd/13-07-2013/NPS_1227937,/images/empty-placeholder.png,https://images.npo.nl/header/2560x1440/1197063.jpg
