Name,Description,Category,URL,Small_Image,Large_Image,Tags
De zaak Shell,Film in aanloop naar de uitspraak in de historische rechtszaak tegen Shell. De hoofdrolspelers in de klimaatcrisis houden een ultiem pleidooi over hun verantwoordelijkheid.,Films,https://www.npostart.nl/de-zaak-shell/21-05-2021/BV_101404973,https://images.npo.nl/tile/320x180/1571911.jpg,https://images.npo.nl/tile/320x180/1571911.jpg,['Drama']
Book Club,"Vier vriendinnen komen maandelijks samen voor hun boekenclub. Ze zijn alle vier wel klaar met de liefde, maar dat verandert wanneer ze zich aan de reeks Fifty Shades of Grey wagen.",Films,https://www.npostart.nl/book-club/29-05-2021/POW_04067413,https://images.npo.nl/tile/320x180/1514892.jpg,https://images.npo.nl/tile/320x180/1514892.jpg,['Komedie']
Lek,Jonge ambitieuze politieagent Eddy komt oude bekende Sjakie tegen die het heeft gemaakt in het criminele milieu.,Films,https://www.npostart.nl/lek/20-06-2021/BV_101406247,https://images.npo.nl/tile/320x180/1235212.jpg,https://images.npo.nl/tile/320x180/1235212.jpg,"['Misdaad', 'Thriller']"
Catacombe,Duistere thriller waarin profvoetballer Jermaine Slagter in de kelder van het betaalde voetbal vecht om uit de handen te blijven van Chinese matchfixers.,Films,https://www.npostart.nl/catacombe/05-06-2021/VPWON_1332192,https://images.npo.nl/tile/320x180/1577564.jpg,https://images.npo.nl/tile/320x180/1577564.jpg,['Thriller']
Alles is familie,"Winnie wil heel graag kinderen. Haar man wil zichzelf leren kennen. Haar broer Charlie wil liefst helemaal niks doen. Hun zwager, Dick, wil zijn overleden vrouw terug. Arend wil alleen gelukkig zijn.",Films,https://www.npostart.nl/alles-is-familie/27-06-2021/BV_101406481,https://images.npo.nl/tile/320x180/1377892.jpg,https://images.npo.nl/tile/320x180/1377892.jpg,"['Komedie', 'Drama']"
Demain tout commence,Samuel en zijn 8-jarige dochter Gloria zijn onafscheidelijk. Maar dan duikt de moeder van Gloria na jaren weer op om haar dochter op te eisen.,Films,https://www.npostart.nl/demain-tout-commence/03-01-2021/POW_03976027,https://images.npo.nl/tile/320x180/1501652.jpg,https://images.npo.nl/tile/320x180/1501652.jpg,"['Komedie', 'Drama']"
The wife,"Veertig jaar heeft Joan haar eigen talent en ambities opgeofferd voor haar charismatische man Joe en zijn succesvolle literaire carrière, maar nu heeft ze haar breekpunt bereikt.",Films,https://www.npostart.nl/the-wife/03-07-2021/POW_04713831,https://images.npo.nl/tile/320x180/1464630.jpg,https://images.npo.nl/tile/320x180/1464630.jpg,['Drama']
Becoming Astrid,"Het verhaal van de jonge Astrid Lindgren die, ondanks haar religieuze opvoeding en de geldende normen van de jaren 20 van de vorige eeuw, haar eigen weg weet te gaan.",Films,https://www.npostart.nl/becoming-astrid/10-07-2021/POW_04418138,https://images.npo.nl/tile/320x180/1514890.jpg,https://images.npo.nl/tile/320x180/1514890.jpg,"['Biografie', 'Drama']"
Zappbios: Madison - een supersnelle vriendschap,"Voor Madison betekent wielrennen alles en als ze ongewild haar wielerzadel moet ruilen voor een mountainbike, gaat het dan ook mis.",Films,https://www.npostart.nl/zappbios-madison-een-supersnelle-vriendschap/03-07-2021/POW_04636693,https://images.npo.nl/tile/320x180/1590760.jpg,https://images.npo.nl/tile/320x180/1590760.jpg,['Familie']
Toscaanse bruiloft,"Sanne runt samen met haar vader en stiefmoeder Casa Matrimonio, een luxe vrijstaand landhuis in het zonovergoten Italië. Het landgoed in Toscane is de ideale plek om je droombruiloft te vieren.",Films,https://www.npostart.nl/toscaanse-bruiloft/11-07-2021/AT_300001940,https://images.npo.nl/tile/320x180/1591285.jpg,https://images.npo.nl/tile/320x180/1591285.jpg,"['Komedie', 'Romantiek']"
Zappbios: Peperbollen en het geheim van de diepzee,De Peperbollen onderzoeken de ontvoering van een wetenschapper die een manier ontdekt heeft om de oceanen van alle plastic afval te ontdoen. Een spannend avontuur volgt.,Films,https://www.npostart.nl/zappbios-peperbollen-en-het-geheim-van-de-diepzee/17-07-2021/POW_04962107,https://images.npo.nl/tile/320x180/1594006.jpg,https://images.npo.nl/tile/320x180/1594006.jpg,"['Avontuur', 'Actie']"
Colette,"Het fascinerende levensverhaal van Colette, een van de bekendste vrouwelijke auteurs van Frankrijk die het preutse land op zijn kop zette met haar sexy novelles over Claudine en later Gigi.",Films,https://www.npostart.nl/colette/24-07-2021/POW_04670997,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1117000/1117425.jpg?cb=1549451920,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1117000/1117425.jpg?cb=1549451920,"['Biografie', 'Drama']"
