,Name,Description,Category,URL,Small_Image,Large_Image,Tags
63,Doc 25,Wim is volledig verlamd en totaal afhankelijk van de mensen om hem heen. Wanneer zijn vrouw een weekend weg is nemen zijn drie zoons de zorg over.,Documentaires,https://www.npostart.nl/doc-25/21-10-2014/VPWON_1218744,https://images.npo.nl/tile/320x180/1179719.jpg,https://images.npo.nl/tile/320x180/1179719.jpg,"['Komedie', 'Romantiek']"
66,Andere Tijden Special (HH),70 jaar geleden landden de geallieerden in Normandië en vochten zich daarna een bloedige weg naar het Noorden. Van die opmars zijn unieke filmbeelden gemaakt door het Canadese leger.,Documentaires,https://www.npostart.nl/andere-tijden-special-hh/12-06-2014/NPS_1246621,https://images.npo.nl/tile/320x180/549834.jpg,https://images.npo.nl/tile/320x180/549834.jpg,['25 seizoenen']
67,MO Doc: Groene Moslims,Verdiepend programma waarin relevante thema's uitgebreid worden behandeld.,Documentaires,https://www.npostart.nl/mo-doc-groene-moslims/22-11-2014/VPWON_1234561,https://images.npo.nl/tile/320x180/541249.jpg,https://images.npo.nl/tile/320x180/541249.jpg,['Documentaire']
74,NCRV Dokument,Dokument staat garant voor spraakmakende en betrokken sociaal-maatschappelijke documentaires.,Documentaires,https://www.npostart.nl/ncrv-dokument/POMS_S_NCRV_059862,https://images.npo.nl/tile/320x180/Uitgebloeid1_0_cdn_tile-1589900316.jpg,https://images.npo.nl/tile/320x180/Uitgebloeid1_0_cdn_tile-1589900316.jpg,['Documentaire']
82,De Terugkeer van,"Vroeger moest je ze met een loepje zoeken, maar nu het water in ons land steeds schoner wordt, zie je ook weer vaker ijsvogels.",Documentaires,https://www.npostart.nl/de-terugkeer-van/20-11-2015/VARA_101376852,https://images.npo.nl/tile/320x180/682482.jpg,https://images.npo.nl/tile/320x180/682482.jpg,"['Familie', 'Avontuur']"
90,Vroege Vogels: Snuffelpalen,"Menno Bentveld gaat 213 meter de lucht in een 'snuffelpaal' om onderzoek te doen naar wolken, klimaatverandering en het gedrag van vogels.",Documentaires,https://www.npostart.nl/vroege-vogels-snuffelpalen/17-03-2015/VARA_101372862,https://www.moviemeter.nl/series/images/photo/8000/8083.300.jpg?cb=1651080337,https://www.moviemeter.nl/series/images/photo/8000/8083.300.jpg?cb=1651080337,['3 seizoenen']
102,Het Groot-Brittannië van...,"De vijfdelige reisserie Het Groot-Brittannië van… toont het eiland door de ogen van vijf eigenzinnige Britten. Door het eiland te laten zien door de ogen van een Brit, heeft Het Groot Brittannië van... twee belangrijke elementen van een reisserie: de verwonderde blik van de makers aangevuld met de persoonlijke kijk van de Britse gids.",Documentaires,https://www.npostart.nl/het-groot-brittannie-van/POMS_S_VPRO_789109,https://images.npo.nl/tile/320x180/Kate-als-royaltyverslaggeefster_cdn_tile-1589970376.jpg,https://images.npo.nl/tile/320x180/Kate-als-royaltyverslaggeefster_cdn_tile-1589970376.jpg,[]
105,IKON Documentaire,Alle documentaires van de IKON vanaf september 2006. Daarvoor werden de documentaires uitgezonden onder de naam De Donderdag Documentaire. De IKON zendt ook documentaires uit in de serie Holland Doc en Profiel.,Documentaires,https://www.npostart.nl/ikon-documentaire/POMS_S_IKON_105688,https://images.npo.nl/tile/320x180/7016.jpg,https://images.npo.nl/header/2560x1440/7016.jpg,[]
106,Tegenlicht in de klas,Vak: maatschappijleer. Supporters komen in verzet tegen de overnames van hun voetbalclubs door buitenlandse ondernemers. Hun oplossing: ze kopen gezamenlijk de club terug of richten een eigen club op.,Documentaires,https://www.npostart.nl/tegenlicht-in-de-klas/03-02-2015/WO_NTR_781798,https://images.npo.nl/tile/320x180/569365.jpg,https://images.npo.nl/tile/320x180/569365.jpg,['Documentaire']
109,Bloedbroeders,"Honderd jaar geleden werden ruim 800.000 Armeniërs vermoord. Was dit een genocide? Ara Halici en Sinan Can, Nederlanders met Armeense en Turkse voorouders, gaan op zoek naar de waarheid.",Documentaires,https://www.npostart.nl/bloedbroeders/POMS_S_VARA_813896,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/45000/45221.jpg?cb=1365422354,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/45000/45221.jpg?cb=1365422354,"['Thriller', 'Drama']"
113,De razzia van Putten: de weg naar verzoening,"Na de razzia van 2 oktober 1944 in Putten werden 659 mannen gedeporteerd. Honderden zijn begraven in Ladelund, in Noord-Duitsland. Door de jaren groeide een band tussen de twee plaatsen.",Documentaires,https://www.npostart.nl/de-razzia-van-putten-de-weg-naar-verzoening/04-05-2015/15act0504Docu,https://images.npo.nl/tile/320x180/1378420.jpg,https://images.npo.nl/tile/320x180/1378420.jpg,['Documentaire']
119,De erfenis van Anne Frank,"Overlevenden en hun (klein)kinderen bespiegelen hun leven na de oorlog. Aan de hand van scènes uit het theaterstuk Anne vertellen zij hoe het verhaal verderging, hun verhaal.",Documentaires,https://www.npostart.nl/de-erfenis-van-anne-frank/13-06-2015/AT_2037849,https://images.npo.nl/tile/320x180/620854.jpg,https://images.npo.nl/tile/320x180/620854.jpg,"['Drama', 'Oorlog']"
121,Waarom Srebrenica moest vallen,"Waarom kwam er in 1995 geen NAVO-luchtsteun toen Srebrenica onder de voet werd gelopen door de Bosnische Serviërs? Was gebrek aan voorkennis, zoals onder meer het NIOD concludeerde, de reden? Het antwoord op die vraag is, ondanks talloze onderzoeken, nooit gekomen.",Documentaires,https://www.npostart.nl/waarom-srebrenica-moest-vallen/POMS_S_VPRO_13831536,https://images.npo.nl/tile/320x180/Srebrenica_S.Heijdendael-2_cdn_tile-1653405346.jpg,https://images.npo.nl/tile/320x180/Srebrenica_S.Heijdendael-2_cdn_tile-1653405346.jpg,['Documentaire']
130,20 jaar Zembla,Ziekenhuisbacteriën zijn levensgvaarlijk. Jaarlijks overlijden honderden mensen aan een infectie die ze oplopen in een ziekenhuis.,Documentaires,https://www.npostart.nl/20-jaar-zembla/30-08-2015/VARA_101376457,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1124000/1124957.jpg?cb=1557991276,https://weserv.moviemeter.nl/?url=https://www.moviemeter.nl/images/cover/1124000/1124957.jpg?cb=1557991276,['Documentaire']
136,Filmlab,"Een coming-of-age documentaire over het afscheid van een hechte woongroep, bestaande uit negen jonge vrouwen, in de rafelrand van Maastricht.",Documentaires,https://www.npostart.nl/filmlab/13-09-2015/VPWON_1239764,https://images.npo.nl/tile/320x180/649474.jpg,https://images.npo.nl/header/2560x1440/649474.jpg,[]
138,Van Bihar tot Bangalore,"Jelle Brandt Corstius gaat op reis door India. Waar hij eerder als kenner Rusland probeerde uit te leggen in de series Van Moskou tot Moermansk en Van Moskou tot Magadan, probeert hij nu als vreemdeling India te begrijpen. De grootste uitdaging voor India is niet om welvarender te worden, maar om de welvaart beter te spreiden. Brandt Corstius reist tussen twee uitersten door het land. Van Bihar, liggend in het arme oosten, tot Bangalore, de technologische reus in het rijke zuidwesten.",Documentaires,https://www.npostart.nl/van-bihar-tot-bangalore/POMS_S_VPRO_113116,https://images.npo.nl/tile/320x180/Van_Bihar_tot_Bangalore_credit_Hans_Pool__4_-1497959064_cdn_tile-1590092995.jpg,https://images.npo.nl/tile/320x180/Van_Bihar_tot_Bangalore_credit_Hans_Pool__4_-1497959064_cdn_tile-1590092995.jpg,[]
139,De bergen achter Sotsji,"De Olympische Winterspelen 2014 worden gehouden in de buurt van de stad Sotsji in het zuiden van Rusland. Wekenlang is te zien hoe sporters slalommen, bobsleeën en rodelen. Maar waar liggen die bergen nou waar dit allemaal gebeurt? En wie wonen daar?",Documentaires,https://www.npostart.nl/de-bergen-achter-sotsji/POMS_S_VPRO_471266,https://images.npo.nl/tile/320x180/de_bergen_achter_sotsji_cdn_tile-1589896430.jpg,https://images.npo.nl/tile/320x180/de_bergen_achter_sotsji_cdn_tile-1589896430.jpg,[]
144,EenVandaag: Klimaatdoelstellingen Nederland,Meerderheid voor uitsluitend duurzame energie. * Het laatste congres van Marijnissen als SP-voorzitter. * Klimaattop: Waar gaat het eigenlijk over? * Milieumeetlat: hoe milieubewust is Marc de Hond?,Documentaires,https://www.npostart.nl/eenvandaag-klimaatdoelstellingen-nederland/28-11-2015/AT_2042971,https://images.npo.nl/tile/320x180/640472.jpg,https://images.npo.nl/tile/320x180/640472.jpg,"['Drama', 'Familie']"
