,Name,Type,Genres,Description,img_link
26,an evening with ben cramer,Movie,"['Comedy', 'Crime']","Lulu Danger's unsatisfying marriage takes a turn for the worst when a mysterious man from her past comes to town to perform an event called ""An Evening With Beverly Luff Linn; For One Magica... Read all","https://m.media-amazon.com/images/M/MV5BOWEwZWRkMDgtNGQ3Ny00NmYwLTk0MmQtNDhjYzFkNzRmZmU0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,4,190,281_.jpg"
27,apennoten,Movie,['Drama'],"In a film that cuts across documentary and drama sees an exploration of both the dynamics of an industrial behemoth, which operates its own independent environment, and societal dynamics in ... Read all","https://m.media-amazon.com/images/M/MV5BMjIwNjM0NzAtOGM1Yy00ODUwLThmNmMtODk2Yzk0MDRjMTllXkEyXkFqcGdeQXVyMjg1NjgwMzg@._V1_QL75_UY281_CR4,0,190,281_.jpg"
28,arctic circle,Series,"['Crime', 'Drama', 'Thriller']","Arctic Circle (aka Ivalo) is set in the unforgiving polar region, amidst the icy landscapes of Finnish Lapland. In season 1 Nina Kautsalo, a Finnish police officer, finds a dying prostitute ... Read all","https://m.media-amazon.com/images/M/MV5BMDljNDU1ZDEtM2VkOS00NmQ0LTkxYmMtYWVkNDY2ZjIyOTA5XkEyXkFqcGdeQXVyNTQ5MTA1OTQ@._V1_QL75_UX190_CR0,2,190,281_.jpg"
29,art dept,Movie,"['Action', 'Comedy']","""Rambo"" parody in which Topper Harley leads a rescue team into Iraq to save Iraqi war prisoners and all of their previous rescue teams.","https://m.media-amazon.com/images/M/MV5BZjU2ODlmZWMtODEwZS00NTQ0LTk1ZDYtYzk0ZjE3ZGZhMGM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,2,190,281_.jpg"
30,artmen,Tv,"['Drama', 'Musical']",A modern-day reimagining of one of the classical opera 'Carmen'.,"https://m.media-amazon.com/images/M/MV5BMDA4MjYxZjYtNjYwMC00ZDEyLWE2NGItNTVlOWNiYmM5NjUzXkEyXkFqcGdeQXVyMTQyODg5MjQw._V1_QL75_UX190_CR0,0,190,281_.jpg"
31,babybeestenboel,Movie,"['Animation', 'Adventure', 'Comedy']","When the farmer's away, all the animals play, and sing, and dance. Eventually, though, someone has to step in and run things, a responsibility that ends up going to Otis, a carefree cow.","https://m.media-amazon.com/images/M/MV5BMTU2NDE0ODYyNF5BMl5BanBnXkFtZTcwNjQ3NzAzMQ@@._V1_QL75_UX190_CR0,7,190,281_.jpg"
32,back on track,Documentary,['Documentary'],"9 January 2022, the Stadio Olimpico in Rome. 30 minutes into the first half, Federico Chiesa collapses to the ground, screaming in pain. He has torn the cruciate ligament of his left knee. A... Read all","https://m.media-amazon.com/images/M/MV5BZmQ2ODA1ZmUtN2Y4MS00MGE2LWI5OTctOTdlZGQ4NmFjOTgxXkEyXkFqcGdeQXVyMTA0NTY0NTYy._V1_QL75_UX190_CR0,2,190,281_.jpg"
33,bait,Movie,"['Action', 'Fantasy', 'Horror']",A freak tsunami traps shoppers at a coastal Australian supermarket inside the building - along with 12-foot Great White Sharks.,"https://m.media-amazon.com/images/M/MV5BMTYzNjU4NTc5MV5BMl5BanBnXkFtZTcwNDE0NzAzOA@@._V1_QL75_UY281_CR4,0,190,281_.jpg"
34,bak mee met max,Series,['Drama'],"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.","https://m.media-amazon.com/images/M/MV5BNTgxNDZlODQtNDcwOC00NWQ5LTljNWMtMDhjY2U5YTUzMTc4XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
35,bang,Series,"['Comedy', 'Romance']",A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,"https://m.media-amazon.com/images/M/MV5BY2FmZTY5YTktOWRlYy00NmIyLWE0ZmQtZDg2YjlmMzczZDZiXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_QL75_UX190_CR0,2,190,281_.jpg"
